base,category,corr_cex_oi,pval_cex_oi,n_days_oi,corr_cex_pool,pval_cex_pool,n_days_pool
SHIB,Mid,0.7961710291831157,2.1652466848582384e-111,503,0.6138112461669878,4.9567809828132206e-61,577
ENA,Large,0.7409116195669814,2.2959365048378096e-72,409,0.7475915018577117,1.617344088203208e-74,410
DOGE,Large,0.7350259935309339,3.890152100304672e-161,944,0.6757411398950133,6.546365801464155e-127,944
VIRTUAL,Small,0.7338595638329843,2.584620750139758e-67,391,0.74370068408436,5.035764523887619e-70,391
PEPE,Large,0.7289772688566856,1.1292739638509148e-100,601,0.8253316643623894,4.59736362401924e-151,602
NEAR,Mid,0.7130516662769022,1.8927664047608712e-113,724,0.5728344091969697,1.0338388114939163e-64,728
WIF,Large,0.6927587947955064,2.2076780289058116e-85,589,0.7839795354164119,4.2450079269096524e-125,596
TON,Small,0.670893418453453,4.141698269390853e-62,465,0.44102887365692606,2.3327346161215458e-24,482
BONK,Mid,0.6578482926570124,9.10672512025756e-56,439,0.5788804012147619,3.749976543926406e-42,456
PENGU,Small,0.622281014988701,2.7530703625065196e-43,391,0.6600850890431798,2.8347792379476904e-50,391
WLFI,Mid,0.6187835637811614,1.647550384982727e-20,181,0.7756856051342231,7.989853516919196e-38,182
CRV,Small,0.6187307780689737,1.3324959952466738e-29,267,0.5646074087158155,7.001669515019376e-24,267
MEW,Small,0.5999343547876415,1.1555059297623502e-36,361,-0.15362360497698696,0.0025071895286663667,385
DOLO,Small,0.5872468844748031,1.8506186849275073e-28,292,0.6681197173336146,5.070441795773311e-40,299
PUMP,Mid,0.5852361863757483,1.5546183195104793e-22,230,0.4670642708330628,7.290022498593354e-14,230
TIA,Small,0.5817972940294864,1.8738382518218622e-45,487,0.496361225931956,3.2647865326857323e-32,496
VVV,Small,0.5724364046565953,8.509108508842319e-17,177,0.685226812203168,7.525763442357083e-27,184
POL,Small,0.5723446273787208,4.5289552008959e-44,491,0.34522930361071424,1.6956801776793021e-15,502
AVAX,Mid,0.5641237502505303,5.540968199476235e-63,735,0.6512778094421394,6.375669226701586e-90,735
BERA,Small,0.5589305704777636,1.9184383386857242e-32,378,0.5971048765093344,3.546679381832506e-38,381
ZEC,Small,0.5484495172149059,1.672650780202649e-07,79,0.7785143569337389,3.0586346703760367e-17,79
BOME,Small,0.5399639819749709,1.1938200790960523e-31,400,-0.08298991334045554,0.08824263425675107,423
OP,Small,0.5336025348722441,2.6687731512588325e-54,721,0.5810853528257927,5.7315536641851277e-67,728
AERO,Small,0.532748027791962,1.2877379813313508e-15,194,0.48844525703777253,3.7973401939651706e-13,196
AAVE,Mid,0.5316114013759742,2.34112709620363e-55,742,0.6497104133059071,3.408700444746731e-90,742
STX,Small,0.5304239009582118,7.2821062372937765e-40,531,0.1678598192161076,8.739518491833908e-05,541
BNB,Mid,0.5151409360884744,9.544231056986729e-54,775,0.3863261939934626,4.6316272497584203e-29,777
ARB,Mid,0.5068524368937974,9.376144728793647e-63,944,0.7385229957960648,1.915219284044131e-163,944
AIXBT,Small,0.5039224245137053,4.285177315672717e-25,368,0.37992698339428915,3.20984220201745e-14,372
WLD,Mid,0.5007486145190999,1.4404867262694972e-30,460,0.3387626385109155,5.282742006150133e-14,467
APE,Small,0.49596660849530483,1.2652146926413042e-29,455,0.05060987415280219,0.2586605282310032,500
TRUMP,Mid,0.4881101361148318,3.7086049446517136e-25,397,0.7404224665414884,1.7134565661629135e-70,399
ALGO,Small,0.4843639462639531,1.4355311790463072e-12,190,0.8329640260720947,1.0161288340788762e-50,192
EIGEN,Small,0.47025256431069984,1.1757477223267753e-28,496,0.486832305510974,9.119355727787433e-32,511
FARTCOIN,Mid,0.4672312912712868,2.359072599579967e-23,405,0.4765012800830515,2.396025440975153e-24,405
ORDI,Mid,0.4597186911995278,2.2735160951355306e-26,478,0.3375976675801575,9.682571116776404e-15,498
INJ,Small,0.45212870224373425,1.4954749744421095e-22,420,0.5836456681136185,1.2876507712559216e-40,430
SATS,Small,0.45035951279760233,8.70453822071666e-18,328,-0.2259255839085843,4.269341662644395e-06,406
ASTER,Mid,0.44253500704752896,1.0192577055703818e-08,153,0.8031099880620394,8.891489745428126e-36,153
ZORA,Small,0.4412833481964945,1.3691744965956238e-09,172,0.3934456441440368,7.843209752559141e-08,174
LDO,Small,0.42328844236743474,8.881421977646919e-18,376,0.417728092315447,1.3183118016893425e-17,383
FLOKI,Small,0.4219770507574956,8.186864656387748e-21,449,0.0809682665675725,0.08212492911263321,462
ATOM,Small,0.39634688247518507,5.514483260924299e-29,733,0.42992081863224907,9.833268862245963e-35,742
XRP,Large,0.3915102158212361,6.62678972275275e-36,943,0.4849722703873579,7.571075705762672e-57,944
PENDLE,Small,0.3855017910018692,1.3208150907233253e-17,456,-0.023158121050733144,0.6203167901462745,460
ONDO,Small,0.38358041531593523,8.395011405041405e-15,381,0.32098598835970304,1.257034610486586e-10,383
LINK,Mid,0.3734664747943191,1.2966838399147364e-32,944,0.5120334300150968,3.231134333860041e-64,944
ADA,Mid,0.3725257666589167,8.049994531737115e-17,467,0.3588746259921185,1.135046964326825e-15,468
XMR,Small,0.3707313771964452,1.2497198572973953e-09,252,0.46729063012850997,3.966924960145936e-15,253
SEI,Small,0.36570671499666363,2.4863401043218334e-17,502,0.20605540577223408,3.1629784361319006e-06,503
SUI,Large,0.35914707571268284,2.4712764610583746e-16,489,0.2564838071026454,8.7298622935595e-09,489
ETH,Large,0.3580853398896442,6.140315195425465e-30,944,0.4259412184628198,6.8188383937003295e-43,944
ANIME,Small,0.3570955175335411,2.8806739042989387e-12,360,0.6488816969215339,4.0581561853195524e-45,366
BTC,Large,0.3468045955782788,4.562297950888703e-28,944,0.5050829001321052,2.9231459301807875e-62,944
ICP,Small,0.31649624735121873,3.129203884119636e-12,463,0.3281523403351655,4.3740665783541053e-13,463
MORPHO,Small,0.3120695564123048,4.2574296335823036e-05,166,-0.002669016478939192,0.9722801743659207,172
LTC,Mid,0.3093551009588288,2.7005421557999595e-22,940,0.03568530889168055,0.27337980060897,944
TAO,Small,0.308728516938629,5.418278286395114e-12,477,0.33971394099225694,2.2398025263161527e-14,478
XLM,Small,0.3081384168188198,1.4192065377298965e-11,460,0.2208543882455349,1.6817959362980423e-06,461
TRX,Small,0.30637404339692675,8.82520759190261e-12,475,-0.058714885818912724,0.1972242735670436,484
BRETT,Small,0.28059219381713363,0.0002505478418828604,166,0.3526764291799258,1.8163504264732628e-06,174
SOL,Large,0.2736158995359489,1.9694493718766846e-17,930,0.2762593330351269,9.4062807873881e-18,930
LINEA,Small,0.2605198853293373,0.0024570710426677256,133,0.3020301060928305,0.0003706343846939969,135
GMX,Small,0.25236405812559365,6.46178877585694e-11,651,0.38100326536075785,6.411093691775999e-24,651
DOT,Small,0.2513282457875946,4.988783933046255e-08,458,0.18470700535409101,6.268492677648991e-05,464
BCH,Small,0.20728263047119133,1.1422332196279774e-05,441,-0.010587627266873744,0.8216092873640036,456
ZRO,Small,0.1940367792233377,0.0007428060498826873,299,0.34083958271251563,1.1164132260592766e-09,303
MNT,Small,0.1814915563442719,0.015329057174467356,178,0.013439876034873312,0.8563101702095723,184
MEME,Small,0.1491236921282835,0.0022097018696067517,419,0.45103063406427324,3.471838772415466e-23,435
MON,Small,0.13601853156320395,0.23506352450776952,78,0.5848385002542396,1.881976042328122e-08,78
UNI,Mid,0.11306100551953988,0.0005008256200563781,944,0.26876582206059907,4.395220877903853e-17,944
CVX,Small,0.09608039314349408,0.1994767626215955,180,0.20742436037615203,0.0035323366007171024,196
HBAR,Small,0.0916869154810169,0.19436835028935429,202,0.46450183697256847,2.0227283796252697e-12,206
S,Small,0.07452237181600971,0.15422807189451154,367,0.18287273309567853,0.00039232659944801924,372
JUP,Small,0.04356639040914635,0.4144873040318382,353,0.13121627713837256,0.01246363679350868,362
MELANIA,Small,0.04346169691654879,0.39263747822344025,389,0.04987247346213306,0.32468091412575206,392
DYDX,Small,0.027117752736877138,0.6080715691372591,360,0.047125845445945634,0.35643384966912445,385
0G,Small,0.012872067563437142,0.8782997607432985,144,-0.124017877423343,0.13052374621862003,150
FIL,Small,0.01075459211493901,0.8256540537369019,422,0.11145015112879542,0.01950358225989195,439
RENDER,Small,-0.008118445450958052,0.8618422630768249,462,-0.04084282597704593,0.37955032191338434,465
APT,Mid,-0.05419839153343769,0.23157176201793736,489,-0.08784770972770345,0.05125311847059923,493
MOODENG,Small,-0.0816693460502543,0.22445772757104232,223,-0.16318557994069904,0.010516478604878329,245
HYPE,Large,-0.12103496244466035,0.04652478000352107,271,-0.15278287085270867,0.011792300770248926,271
FET,Small,-0.150320202295098,0.003997168607744545,365,-0.47371661528617326,2.9143818220165386e-22,373
CAKE,Small,-0.16980668692044992,0.001597644973290623,343,0.0174273102140416,0.7438509259469045,354
AVNT,Small,-0.1728936067566702,0.038928832389727344,143,-0.27515289694676537,0.0007128980110338787,148
XPL,Mid,-0.3912869633153497,1.8617677293498062e-07,166,-0.4573877365743665,5.167266807473595e-10,167
SKY,Small,-0.4220086976445884,0.0005141177203916117,64,-0.2661270453793605,0.022860806166711982,73
AR,Small,,,34,,,46
CC,Small,,,25,,,25
CHZ,Small,,,49,,,58
DASH,Small,,,53,,,53
IP,Small,,,40,,,44
JTO,Small,,,32,,,43
LIT,Small,,,43,,,45
MET,Small,,,14,,,15
SYRUP,Small,,,57,,,58
